Day,Hour,Radiation,Temperature,PV_Power_kW,Load_Power_kW,SOC_kWh,action,Gia_mua_dien,Gia_ban_dien
1,0,0.0,20.0,0.0,0.546,9.2567952,0,1830,671
1,1,0.0,20.17037087,0.0,0.615,9.2567952,0,1830,671
1,2,0.0,20.66987298,0.0,0.529,9.2567952,0,1830,671
1,3,0.0,21.46446609,0.0,0.638,9.2567952,0,1830,671
1,4,0.0,22.5,0.0,0.71,8.4215011,2,3007,671
1,5,0.0,23.70590477,0.0,0.646,7.6615011,2,3007,671
1,6,0.0,25.0,0.0,1.877,5.4532658,2,3007,671
1,7,253.7576205,26.29409523,0.804724082,2.176,3.84,2,3007,671
1,8,486.9573077,27.5,2.272875612,0.381,3.84,0,3007,671
1,9,680.7066099,28.53553391,2.664340524,0.379,3.84,0,3007,671
1,10,819.3091108,29.33012702,3.120815976,0.23,6.4202338,1,5174,671
1,11,891.5360603,29.82962913,3.633755299,3.156,6.8502135,1,5174,671
1,12,891.5360603,30.0,3.701555663,0.677,9.5723136,1,3007,671
1,13,819.3091108,29.82962913,2.516338111,0.72,11.189018,1,3007,671
1,14,680.7066099,29.33012702,2.903141183,0.399,13.442745,1,3007,671
1,15,486.9573077,28.53553391,1.657496487,0.262,14.698692,1,3007,671
1,16,253.7576205,27.5,1.097786863,0.363,15.36,1,3007,671
1,17,1.1e-13,26.29409523,0.0,1.53,13.56,2,5174,671
1,18,0.0,25.0,0.0,3.848,9.0329412,2,5174,671
1,19,0.0,23.70590477,0.0,3.949,4.3870588,2,5174,671
1,20,0.0,22.5,0.0,1.944,3.84,2,3007,671
1,21,0.0,21.46446609,0.0,1.98,3.84,0,3007,671
1,22,0.0,20.66987298,0.0,0.887,3.84,0,1830,671
1,23,0.0,20.17037087,0.0,0.626,3.84,0,1830,671
2,0,0.0,20.0,0.0,0.546,3.84,0,1830,671
2,1,0.0,20.17037087,0.0,0.615,3.84,0,1830,671
2,2,0.0,20.66987298,0.0,0.529,3.84,0,1830,671
2,3,0.0,21.46446609,0.0,0.638,3.84,0,1830,671
2,4,0.0,22.5,0.0,0.71,3.84,0,3007,671
2,5,0.0,23.70590477,0.0,0.646,3.84,0,3007,671
2,6,0.0,25.0,0.0,1.877,3.84,0,3007,671
2,7,207.1533457,26.29409523,0.743840737,2.176,3.84,0,3007,671
2,8,397.5243593,27.5,1.913645363,0.381,3.84,0,3007,671
2,9,555.6903135,28.53553391,2.057497502,0.379,4.4498618,1,3007,671
2,10,668.8375433,29.33012702,2.84356276,0.23,6.8020683,1,5174,671
2,11,727.7995331,29.82962913,3.844742262,3.156,7.4219363,1,5174,671
2,12,727.7995331,30.0,2.722339302,0.677,9.2627417,1,3007,671
2,13,668.8375433,29.82962913,3.745169367,0.72,11.985394,1,3007,671
2,14,555.6903135,29.33012702,2.000259829,0.399,13.426528,1,3007,671
2,15,397.5243593,28.53553391,1.662151541,0.262,14.686664,1,3007,671
2,16,207.1533457,27.5,1.111150708,0.363,15.36,1,3007,671
2,17,9e-14,26.29409523,0.0,1.53,13.56,2,5174,671
2,18,0.0,25.0,0.0,3.848,9.0329412,2,5174,671
2,19,0.0,23.70590477,0.0,3.949,4.3870588,2,5174,671
2,20,0.0,22.5,0.0,1.944,4.3870588,0,3007,671
2,21,0.0,21.46446609,0.0,1.98,3.84,2,3007,671
2,22,0.0,20.66987298,0.0,0.887,3.84,0,1830,671
2,23,0.0,20.17037087,0.0,0.626,3.84,0,1830,671
3,0,0.0,20.0,0.0,0.546,3.84,0,1830,671
3,1,0.0,20.17037087,0.0,0.615,3.84,0,1830,671
3,2,0.0,20.66987298,0.0,0.529,3.84,0,1830,671
3,3,0.0,21.46446609,0.0,0.638,3.84,0,1830,671
3,4,0.0,22.5,0.0,0.71,3.84,0,3007,671
3,5,0.0,23.70590477,0.0,0.646,3.84,0,3007,671
3,6,0.0,25.0,0.0,1.877,3.84,0,3007,671
3,7,168.143535,26.29409523,0.988631296,2.176,3.84,0,3007,671
3,8,322.6650807,27.5,1.796150388,0.381,3.84,0,3007,671
3,9,451.0462206,28.53553391,2.836761126,0.379,3.84,0,3007,671
3,10,542.8862782,29.33012702,3.528270106,0.23,6.6520909,1,5174,671
3,11,590.7449182,29.82962913,2.620729796,3.156,6.0223612,2,5174,671
